name,date,format,location,weight
HTB Business CTF 2023: The Great Escape,07/14/2023,Jeopardy,On-line,23.21
AmateursCTF 2023,07/15/2023,Jeopardy,On-line,0.00
zer0pts CTF 2023,07/15/2023,Jeopardy,On-line,52.62
BDSec CTF 2023,07/20/2023,Jeopardy,On-line,12.23
The Odyssey CTF,07/21/2023,Jeopardy,On-line,0.00
ImaginaryCTF 2023,07/21/2023,Jeopardy,On-line,34.52
ENOWARS 7,07/22/2023,Attack-Defense,On-line,100.00
TFC CTF 2023,07/28/2023,Jeopardy,On-line,33.71
corCTF 2023,07/29/2023,Jeopardy,On-line,36.97
DeconstruCT.F 2023,08/04/2023,Jeopardy,On-line,0.00
Arab Security Cyber Wargames 2023 Qualifications,08/04/2023,Jeopardy,On-line,0.00
ESCAPE CTF 2023 Preliminary,08/05/2023,Jeopardy,On-line,0.00
Securinets CTF Quals 2023,08/05/2023,Jeopardy,On-line,65.42
CTFZone 2023 Quals,08/12/2023,Jeopardy,On-line,90.90
h4ckc0n 2023,08/12/2023,Jeopardy,On-line,0.00
CCCamp 2023,08/16/2023,Jeopardy,On-line,0.00
Bauhinia CTF 2023,08/19/2023,Jeopardy,On-line,0.00
Hacker's Playground 2023,08/19/2023,Jeopardy,On-line,51.00
Midnight Sun CTF 2023 Finals,08/19/2023,Jeopardy,"Sweden, Stockholm",90.00
HITB SECCONF CTF 2023,08/24/2023,Attack-Defense,"Phuket, Thailand + online",43.00
SekaiCTF 2023,08/25/2023,Jeopardy,On-line,24.86
DownUnderCTF 2023,09/01/2023,Jeopardy,On-line,46.63
CakeCTF 2023,09/02/2023,Jeopardy,On-line,0.00
Aero CTF 2023,09/02/2023,Jeopardy,On-line,75.56
HITCON CTF 2023 Quals,09/08/2023,Jeopardy,On-line,99.75
PatriotCTF 2023,09/08/2023,Jeopardy,On-line,24.52
Information and Technology Festival 2023,09/09/2023,Jeopardy,On-line,0.00
SECCON CTF 2023 Quals,09/16/2023,Jeopardy,On-line,100.00
Pointer Overflow CTF - 2023,09/17/2023,Jeopardy,On-line,0
ASIS CTF Quals 2023,09/22/2023,Jeopardy,On-line,89.80
CaptureTheWU,09/23/2023,Jeopardy,On-line,0.00
FAUST CTF 2023,09/23/2023,Attack-Defense,On-line,97.89
MapleCTF 2023,09/30/2023,Jeopardy,On-line,24.05
TCP1P CTF 2023,10/06/2023,Jeopardy,On-line,0.00
Internet Festival 2023 CTF Finals,10/06/2023,Jeopardy,"Italy, Pisa",0.00
Hackvens 2023,10/13/2023,Jeopardy,"France, Lyon",0.00
Hack.lu CTF 2023,10/13/2023,Jeopardy,On-line,94.73
DEADFACE CTF 2023,10/20/2023,Jeopardy,On-line,33.74
FE-CTF 2023,10/27/2023,Jeopardy,On-line,25.00
THE HAXORCIST - A HALLOWEEN CTF,10/28/2023,Jeopardy,"IBM Garage for Defense, Godesberger Allee 127, 53175 Bonn, Germany",22.67
HITCON CTF 2023 Final,11/14/2023,Attack-Defense,"Taiwan, Taipei",0.00
GlacierCTF 2023,11/24/2023,Jeopardy,On-line,24.32
m0leCon CTF 2023,11/30/2023,Jeopardy,"Italy, Turin",50.00
pingCTF 2023,12/08/2023,Jeopardy,On-line,24.29
ASIS CTF Finals 2023,12/29/2023,Jeopardy,On-line,83.00
